detector,window,source,anomaly_type,base,seed,mag,stream,family,pr_auc,vus_pr,f1,precision,recall,mcc,pa_f1,nab,nab_low_fp,detected_frac,latency,fp_per_1k,threshold,anomaly_ratio
hampel,30,syn,drift,flat,1,6.0,syn|drift|flat|s1|m6.0,robust,0.7256526846562742,0.7325138364896578,0.8439646712463199,0.7300509337860781,1.0,0.21734440373107566,1.0,-2804.334642546214,-5708.334642546214,1.0,0.0,260.0,0.0013879305213937807,0.7166666666666667
hampel,30,syn,drift,flat,2,6.0,syn|drift|flat|s2|m6.0,robust,0.8431424807194656,0.8573276534908029,0.9068901303538176,0.8310580204778157,0.9979508196721312,0.29430368263515055,1.0,-2793.334642546214,-5686.334642546214,1.0,0.0,160.0,0.009654217469373333,0.8133333333333334
hampel,30,syn,drift,flat,3,6.0,syn|drift|flat|s3|m6.0,robust,0.8209351424015168,0.8342246686717038,0.9050279329608939,0.826530612244898,1.0,0.29496308640500796,0.9948822927328557,-2798.834642546214,-5697.334642546214,1.0,0.0,165.0,0.004193958853576954,0.81
hampel,30,syn,drift,flat,4,6.0,syn|drift|flat|s4|m6.0,robust,0.3914966808934909,0.40187958634438536,0.515802781289507,0.3475298126064736,1.0,0.10681201701824307,1.0,-2798.834642546214,-5697.334642546214,1.0,0.0,633.3333333333334,0.004421339442614602,0.34
hampel,30,syn,drift,flat,0,9.0,syn|drift|flat|s0|m9.0,robust,0.24687175623644317,0.25493191427981415,0.3622047244094488,0.25842696629213485,0.6052631578947368,0.15618577970649336,0.9344262295081968,-1176.3346425462141,-2452.334642546214,1.0,2.0,328.3333333333333,0.7996546533738031,0.19
hampel,30,syn,drift,flat,1,9.0,syn|drift|flat|s1|m9.0,robust,0.7313319198811035,0.7381082398963528,0.8439646712463199,0.7300509337860781,1.0,0.21734440373107566,1.0,-2804.334642546214,-5708.334642546214,1.0,0.0,260.0,0.0013879305213937807,0.7166666666666667
hampel,30,syn,drift,flat,2,9.0,syn|drift|flat|s2|m9.0,robust,0.8457354939547164,0.860024512187005,0.9068901303538176,0.8310580204778157,0.9979508196721312,0.29430368263515055,1.0,-2793.334642546214,-5686.334642546214,1.0,0.0,160.0,0.009654217469373333,0.8133333333333334
hampel,30,syn,drift,flat,3,9.0,syn|drift|flat|s3|m9.0,robust,0.8263391484142137,0.8394430483966271,0.9050279329608939,0.826530612244898,1.0,0.29496308640500796,1.0,-2798.834642546214,-5697.334642546214,1.0,0.0,165.0,0.004193958853576954,0.81
hampel,30,syn,drift,flat,4,9.0,syn|drift|flat|s4|m9.0,robust,0.4068971355081696,0.4170741113655503,0.515802781289507,0.3475298126064736,1.0,0.10681201701824307,1.0,-2798.834642546214,-5697.334642546214,1.0,0.0,633.3333333333334,0.004421339442614602,0.34
hampel,30,syn,drift,periodic,0,4.0,syn|drift|periodic|s0|m4.0,robust,0.19265236168534647,0.20052323004480688,0.3243243243243243,0.1935483870967742,1.0,0.06618704413125229,0.9306122448979592,-2804.334642546214,-5708.334642546214,1.0,0.0,786.6666666666666,0.0007565360816640223,0.19
